node,name,state,betweenness,clustering,in_degree,out_degree,avg_delay_ratio,pct_ftl,dominant_route_type,peak_time_of_day,pct_sla_breach,outbound_trip_count,composite_score,betweenness_rank,composite_rank
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),Haryana,0.23322606068566926,0.026509912402028584,45,49,1.934739730495223,0.8582687283162719,FTL,Night,0.9591836734693877,23347.0,0.22370662963727458,1.0,1.0
IND562132AAA,Bangalore_Nelmngla_H (Karnataka),Karnataka,0.1524793117036648,0.05481120584652863,36,35,1.7997312497267373,0.8153383458646617,FTL,Afternoon,0.9428571428571428,9975.0,0.1437662081777411,2.0,2.0
IND712311AAA,Kolkata_Dankuni_HB (West Bengal),West Bengal,0.08054059576455479,0.03225806451612903,24,22,2.3995208897017974,0.8790199081163859,FTL,Morning,1.0,2612.0,0.08054059576455479,3.0,3.0
IND501359AAE,Hyderabad_Shamshbd_H (Telangana),Telangana,0.07687143336690165,0.03734177215189873,30,27,2.0127461746728255,0.8494011976047904,FTL,Evening,1.0,3340.0,0.07687143336690165,4.0,4.0
IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),Maharashtra,0.053060554314987525,0.05912990196078431,29,29,2.1834064363345616,0.836487676056338,FTL,Night,1.0,9088.0,0.053060554314987525,5.0,5.0
IND110037AAM,Delhi_Airport_H (Delhi),Delhi,0.04731088634937315,0.04350051177072672,21,24,2.159030410180304,0.8012916045702931,FTL,Morning,1.0,2013.0,0.04731088634937315,7.0,6.0
IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),Punjab,0.05304449990513303,0.028421633554083885,32,29,1.892376877397249,0.8461224489795919,FTL,Evening,0.8620689655172413,2450.0,0.04572801715959744,6.0,7.0
IND411033AAA,Pune_Tathawde_H (Maharashtra),Maharashtra,0.04550148138418203,0.05343082114735658,23,20,1.9818185173154663,0.9133218419108594,FTL,Morning,1.0,4061.0,0.04550148138418203,9.0,8.0
IND131028AAB,Sonipat_Kundli_H (Haryana),Haryana,0.04723572252141804,0.03437094682230869,20,20,1.8096267086717734,0.5303210463733651,FTL,Evening,0.95,1682.0,0.04487393639534714,8.0,9.0
IND302014AAA,Jaipur_Hub (Rajasthan),Rajasthan,0.04277989404089496,0.06,10,8,1.8500579214638169,1.0,FTL,Night,1.0,791.0,0.04277989404089496,11.0,10.0
IND209304AAA,Kanpur_Central_H_6 (Uttar Pradesh),Uttar Pradesh,0.042477779237269586,0.02882205513784461,16,13,1.9233148625957401,0.8129543952412426,FTL,Night,1.0,1513.0,0.042477779237269586,12.0,11.0
IND600056AAB,MAA_Poonamallee_HB (Tamil Nadu),Tamil Nadu,0.041143803727542075,0.03970826580226904,18,18,2.2039707986979433,0.5077473182359953,FTL,Evening,1.0,1678.0,0.041143803727542075,13.0,12.0
IND781018AAB,Guwahati_Hub (Assam),Assam,0.043979231431615515,0.011293634496919919,17,15,2.3066989312542,0.9700255102040817,FTL,Night,0.9333333333333333,1568.0,0.041047282669507815,10.0,13.0
IND382430AAB,Ahmedabad_East_H_1 (Gujarat),Gujarat,0.030871170658376756,0.029137529137529136,17,13,2.6629284962610726,0.8130681818181819,FTL,Night,0.9230769230769231,1760.0,0.028496465223117006,14.0,14.0
IND462022AAA,Bhopal_Trnsport_H (Madhya Pradesh),Madhya Pradesh,0.028316695126756865,0.05506607929515418,13,9,1.877879943972779,0.9593103448275863,FTL,Morning,1.0,1450.0,0.028316695126756865,15.0,15.0
IND842001AAA,Muzaffrpur_Bbganj_I (Bihar),Bihar,0.0246986149422771,0.035919540229885055,12,15,2.2630583914105165,0.9449929478138223,FTL,Evening,1.0,709.0,0.0246986149422771,16.0,16.0
IND751002AAB,Bhubaneshwar_Hub (Orissa),Orissa,0.022569946144752398,0.08333333333333333,13,6,2.266489980025747,1.0,FTL,Afternoon,1.0,1469.0,0.022569946144752398,18.0,17.0
IND683511AAA,Aluva_Peedika_H (Kerala),Kerala,0.022768801903177316,0.0213903743315508,13,7,1.9790227835331278,0.6491228070175439,FTL,Evening,0.8571428571428571,399.0,0.019516115917009125,17.0,18.0
IND854326AAB,Purnia_Central_H_2 (Bihar),Bihar,0.01899382634966505,0.1059322033898305,8,8,2.1349254714682178,1.0,FTL,Evening,1.0,1053.0,0.01899382634966505,19.0,19.0
IND530012AAA,Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),Andhra Pradesh,0.018228322897966928,0.029556650246305417,10,11,2.1201609015698524,0.4360056258790436,Carting,Night,1.0,711.0,0.018228322897966928,20.0,20.0
